,31_travel_time,31_SMS,31_count,32_travel_time,32_SMS,32_count,41_travel_time,41_SMS,41_count,42_travel_time,42_SMS,42_count,5_travel_time,5_SMS,5_count
19:00,132.0,75.0,290.0,133.0,75.0,47.0,139.0,72.0,11.0,226.0,54.0,8.0,238.0,50.0,2.0
19:05,129.0,79.0,281.0,130.0,79.0,57.0,127.0,79.0,9.0,153.0,64.0,5.0,139.0,73.0,6.0
19:10,123.0,82.0,282.0,127.0,79.0,49.0,125.0,82.0,19.0,138.0,73.0,10.0,144.0,72.0,4.0
19:15,122.0,82.0,300.0,121.0,82.0,44.0,119.0,86.0,5.0,129.0,79.0,7.0,123.0,82.0,4.0
19:20,122.0,82.0,300.0,121.0,82.0,44.0,119.0,86.0,5.0,129.0,79.0,7.0,123.0,82.0,4.0
19:25,114.0,90.0,269.0,115.0,90.0,51.0,122.0,82.0,13.0,153.0,64.0,3.0,129.0,79.0,6.0
19:30,115.0,90.0,291.0,116.0,90.0,61.0,117.0,88.0,8.0,122.0,82.0,2.0,127.0,81.0,6.0
19:35,115.0,90.0,291.0,116.0,90.0,61.0,117.0,88.0,8.0,122.0,82.0,2.0,127.0,81.0,6.0
19:40,115.0,90.0,265.0,118.0,86.0,53.0,122.0,82.0,16.0,128.0,79.0,8.0,117.0,86.0,4.0
19:45,113.0,90.0,280.0,112.0,90.0,46.0,118.0,86.0,16.0,129.0,79.0,6.0,119.0,86.0,7.0
19:50,113.0,90.0,280.0,112.0,90.0,46.0,118.0,86.0,16.0,129.0,79.0,6.0,119.0,86.0,7.0
19:55,113.0,90.0,278.0,112.0,90.0,62.0,116.0,90.0,11.0,117.0,86.0,11.0,128.0,79.0,9.0
20:00,113.0,90.0,278.0,112.0,90.0,62.0,116.0,90.0,11.0,117.0,86.0,11.0,128.0,79.0,9.0
