,31_travel_time,31_SMS,31_count,32_travel_time,32_SMS,32_count,41_travel_time,41_SMS,41_count,42_travel_time,42_SMS,42_count,5_travel_time,5_SMS,5_count
16:05,119.0,86.0,277.0,122.0,82.0,82.0,132.0,75.0,10.0,127.0,81.0,16.0,122.0,82.0,15.0
16:10,115.0,90.0,234.0,118.0,86.0,65.0,117.0,86.0,9.0,124.0,82.0,17.0,125.0,82.0,14.0
16:15,121.0,82.0,294.0,123.0,82.0,67.0,124.0,82.0,8.0,128.0,79.0,23.0,133.0,75.0,21.0
16:20,121.0,82.0,294.0,123.0,82.0,67.0,124.0,82.0,8.0,128.0,79.0,23.0,133.0,75.0,21.0
16:25,119.0,86.0,283.0,119.0,86.0,78.0,120.0,86.0,11.0,126.0,81.0,12.0,125.0,81.0,18.0
16:30,121.0,82.0,282.0,122.0,82.0,80.0,123.0,82.0,5.0,126.0,82.0,15.0,128.0,79.0,24.0
16:35,121.0,82.0,282.0,122.0,82.0,80.0,123.0,82.0,5.0,126.0,82.0,15.0,128.0,79.0,24.0
16:40,122.0,82.0,277.0,125.0,82.0,73.0,127.0,81.0,10.0,121.0,84.0,10.0,129.0,79.0,21.0
16:45,128.0,79.0,291.0,129.0,79.0,78.0,132.0,75.0,13.0,133.0,75.0,18.0,136.0,75.0,15.0
16:50,128.0,79.0,291.0,129.0,79.0,78.0,132.0,75.0,13.0,133.0,75.0,18.0,136.0,75.0,15.0
16:55,149.0,68.0,242.0,150.0,68.0,55.0,154.0,64.0,18.0,152.0,68.0,19.0,152.0,68.0,17.0
17:00,149.0,68.0,242.0,150.0,68.0,55.0,154.0,64.0,18.0,152.0,68.0,19.0,152.0,68.0,17.0
17:05,192.0,54.0,270.0,193.0,54.0,74.0,180.0,57.0,10.0,195.0,50.0,19.0,192.0,54.0,11.0
17:10,192.0,54.0,270.0,193.0,54.0,74.0,180.0,57.0,10.0,195.0,50.0,19.0,192.0,54.0,11.0
17:15,236.0,43.0,273.0,236.0,43.0,64.0,229.0,43.0,10.0,267.0,37.0,14.0,266.0,37.0,10.0
17:20,236.0,43.0,273.0,236.0,43.0,64.0,229.0,43.0,10.0,267.0,37.0,14.0,266.0,37.0,10.0
17:25,229.0,43.0,278.0,231.0,43.0,77.0,208.0,48.0,12.0,214.0,46.0,12.0,226.0,43.0,6.0
17:30,231.0,43.0,268.0,232.0,43.0,71.0,228.0,43.0,3.0,231.0,43.0,9.0,259.0,39.0,7.0
17:35,231.0,43.0,268.0,232.0,43.0,71.0,228.0,43.0,3.0,231.0,43.0,9.0,259.0,39.0,7.0
17:40,251.0,39.0,281.0,255.0,39.0,59.0,251.0,39.0,9.0,252.0,39.0,8.0,302.0,32.0,5.0
17:45,252.0,39.0,246.0,252.0,39.0,58.0,238.0,43.0,11.0,276.0,36.0,10.0,327.0,28.0,3.0
17:50,252.0,39.0,246.0,252.0,39.0,58.0,238.0,43.0,11.0,276.0,36.0,10.0,327.0,28.0,3.0
17:55,241.0,43.0,267.0,249.0,39.0,56.0,244.0,39.0,9.0,294.0,34.0,8.0,316.0,32.0,10.0
18:00,241.0,43.0,267.0,249.0,39.0,56.0,244.0,39.0,9.0,294.0,34.0,8.0,316.0,32.0,10.0
18:05,259.0,39.0,253.0,254.0,39.0,57.0,243.0,39.0,11.0,248.0,39.0,8.0,251.0,39.0,7.0
18:10,297.0,32.0,236.0,304.0,32.0,51.0,254.0,39.0,6.0,292.0,34.0,6.0,313.0,32.0,5.0
18:15,321.0,32.0,184.0,322.0,32.0,39.0,291.0,34.0,10.0,327.0,28.0,5.0,344.0,28.0,10.0
18:20,321.0,32.0,184.0,322.0,32.0,39.0,291.0,34.0,10.0,327.0,28.0,5.0,344.0,28.0,10.0
18:25,311.0,32.0,246.0,326.0,28.0,55.0,252.0,39.0,10.0,327.0,30.0,4.0,296.0,34.0,2.0
18:30,202.0,50.0,260.0,221.0,46.0,69.0,189.0,54.0,15.0,221.0,45.0,8.0,276.0,36.0,7.0
18:35,202.0,50.0,260.0,221.0,46.0,69.0,189.0,54.0,15.0,221.0,45.0,8.0,276.0,36.0,7.0
18:40,135.0,75.0,293.0,141.0,72.0,47.0,144.0,72.0,11.0,142.0,72.0,9.0,155.0,64.0,5.0
18:45,139.0,72.0,287.0,141.0,72.0,52.0,142.0,72.0,17.0,265.0,36.0,11.0,147.0,68.0,3.0
18:50,139.0,72.0,287.0,141.0,72.0,52.0,142.0,72.0,17.0,265.0,36.0,11.0,147.0,68.0,3.0
18:55,132.0,75.0,290.0,133.0,75.0,47.0,139.0,72.0,11.0,226.0,54.0,8.0,238.0,50.0,2.0
