,speed,speed,speed,speed,occupancy,occupancy,occupancy,occupancy,S_vol,S_vol,S_vol,S_vol,S_speed,S_speed,S_speed,S_speed,L_vol,L_vol,L_vol,L_vol,L_speed,L_speed,L_speed,L_speed,T_vol,T_vol,T_vol,T_vol,T_speed,T_speed,T_speed,T_speed
lanes,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:01,81.0,79.0,79.0,72.0,12.0,16.0,11.0,11.0,27.0,22.0,22.0,25.0,80.0,78.0,78.0,71.0,3.0,4.0,0.0,0.0,80.0,79.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,81.0,81.0,0.0
16:02,90.0,92.0,88.0,81.0,10.0,11.0,10.0,7.0,22.0,26.0,12.0,17.0,89.0,91.0,88.0,81.0,3.0,1.0,2.0,1.0,89.0,91.0,87.0,74.0,0.0,2.0,4.0,0.0,0.0,98.0,86.0,0.0
16:03,83.0,79.0,80.0,69.0,12.0,12.0,9.0,16.0,28.0,22.0,18.0,28.0,82.0,78.0,79.0,68.0,3.0,3.0,3.0,2.0,86.0,88.0,80.0,75.0,0.0,1.0,0.0,1.0,0.0,70.0,0.0,75.0
16:04,77.0,78.0,75.0,62.0,15.0,13.0,12.0,16.0,28.0,28.0,15.0,29.0,76.0,78.0,71.0,61.0,5.0,3.0,3.0,0.0,78.0,75.0,82.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,82.0,0.0
16:05,90.0,84.0,89.0,82.0,12.0,10.0,8.0,7.0,26.0,16.0,11.0,17.0,90.0,83.0,89.0,82.0,2.0,3.0,2.0,1.0,79.0,87.0,93.0,81.0,1.0,2.0,2.0,0.0,110.0,83.0,84.0,0.0
16:06,84.0,84.0,81.0,74.0,13.0,11.0,10.0,11.0,24.0,20.0,17.0,20.0,83.0,83.0,81.0,74.0,2.0,1.0,3.0,3.0,83.0,81.0,80.0,72.0,2.0,2.0,1.0,0.0,84.0,86.0,81.0,0.0
16:07,78.0,76.0,75.0,79.0,13.0,16.0,10.0,8.0,24.0,28.0,16.0,18.0,78.0,75.0,74.0,78.0,4.0,0.0,3.0,0.0,79.0,0.0,71.0,0.0,1.0,4.0,1.0,1.0,73.0,79.0,96.0,85.0
16:08,83.0,78.0,80.0,86.0,10.0,10.0,11.0,5.0,22.0,16.0,19.0,12.0,83.0,75.0,79.0,85.0,1.0,3.0,3.0,1.0,80.0,83.0,79.0,90.0,1.0,1.0,1.0,0.0,83.0,98.0,92.0,0.0
16:09,86.0,84.0,84.0,84.0,11.0,12.0,9.0,6.0,28.0,16.0,17.0,15.0,85.0,84.0,85.0,82.0,2.0,1.0,3.0,2.0,90.0,83.0,76.0,94.0,0.0,4.0,0.0,0.0,0.0,82.0,0.0,0.0
16:10,81.0,78.0,75.0,71.0,15.0,15.0,12.0,9.0,32.0,24.0,20.0,19.0,80.0,77.0,75.0,70.0,2.0,6.0,3.0,0.0,89.0,80.0,73.0,0.0,2.0,1.0,1.0,0.0,82.0,70.0,77.0,0.0
16:11,80.0,77.0,78.0,69.0,16.0,14.0,13.0,9.0,26.0,24.0,17.0,22.0,79.0,76.0,76.0,68.0,4.0,1.0,4.0,0.0,81.0,84.0,83.0,0.0,2.0,3.0,2.0,0.0,87.0,76.0,80.0,0.0
