,speed,speed,speed,speed,occupancy,occupancy,occupancy,occupancy,S_vol,S_vol,S_vol,S_vol,S_speed,S_speed,S_speed,S_speed,L_vol,L_vol,L_vol,L_vol,L_speed,L_speed,L_speed,L_speed,T_vol,T_vol,T_vol,T_vol,T_speed,T_speed,T_speed,T_speed
lanes,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:01,99.0,91.0,93.0,92.0,6.0,7.0,6.0,4.0,21.0,15.0,15.0,10.0,98.0,90.0,92.0,90.0,0.0,3.0,1.0,0.0,0.0,94.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,88.0,103.0
16:02,96.0,91.0,91.0,96.0,7.0,11.0,9.0,7.0,23.0,25.0,18.0,12.0,95.0,91.0,90.0,97.0,0.0,3.0,2.0,1.0,0.0,90.0,90.0,94.0,0.0,0.0,2.0,2.0,0.0,0.0,95.0,90.0
16:03,96.0,92.0,89.0,90.0,9.0,10.0,9.0,9.0,28.0,22.0,18.0,15.0,96.0,93.0,86.0,90.0,1.0,5.0,1.0,2.0,91.0,86.0,106.0,88.0,0.0,0.0,2.0,2.0,0.0,0.0,98.0,85.0
16:04,102.0,93.0,94.0,86.0,8.0,10.0,7.0,12.0,28.0,29.0,17.0,18.0,101.0,92.0,93.0,85.0,0.0,1.0,1.0,4.0,0.0,94.0,98.0,85.0,0.0,0.0,1.0,2.0,0.0,0.0,90.0,91.0
16:05,97.0,91.0,89.0,90.0,9.0,10.0,8.0,7.0,30.0,26.0,19.0,14.0,96.0,90.0,89.0,90.0,0.0,1.0,3.0,1.0,0.0,94.0,88.0,84.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,88.0
16:06,97.0,98.0,90.0,92.0,8.0,8.0,9.0,7.0,23.0,26.0,15.0,12.0,97.0,97.0,88.0,90.0,2.0,0.0,4.0,3.0,96.0,0.0,90.0,93.0,0.0,0.0,1.0,1.0,0.0,0.0,104.0,104.0
16:07,96.0,92.0,87.0,90.0,10.0,8.0,12.0,4.0,29.0,22.0,20.0,8.0,96.0,92.0,87.0,90.0,0.0,1.0,2.0,3.0,0.0,84.0,84.0,87.0,1.0,0.0,3.0,0.0,81.0,0.0,82.0,0.0
16:08,101.0,97.0,92.0,83.0,8.0,11.0,9.0,10.0,25.0,22.0,14.0,9.0,100.0,96.0,91.0,81.0,2.0,1.0,3.0,8.0,100.0,102.0,92.0,84.0,0.0,3.0,2.0,0.0,0.0,98.0,94.0,0.0
16:09,95.0,89.0,82.0,89.0,9.0,9.0,10.0,8.0,31.0,27.0,12.0,14.0,94.0,88.0,81.0,88.0,0.0,0.0,2.0,1.0,0.0,0.0,73.0,98.0,0.0,0.0,3.0,2.0,0.0,0.0,89.0,88.0
16:10,92.0,90.0,87.0,88.0,8.0,11.0,10.0,6.0,24.0,24.0,12.0,11.0,91.0,90.0,86.0,88.0,0.0,1.0,6.0,1.0,0.0,92.0,87.0,90.0,0.0,1.0,1.0,1.0,0.0,82.0,94.0,83.0
16:11,89.0,89.0,86.0,93.0,11.0,11.0,11.0,7.0,32.0,25.0,19.0,15.0,89.0,89.0,85.0,93.0,2.0,1.0,2.0,2.0,72.0,87.0,90.0,92.0,0.0,1.0,2.0,0.0,0.0,89.0,80.0,0.0
